drugid	name	pharmgkbid	rxnormid	drugbankid	atcid	umlscui	flowchart	version	guidelineid
RxNorm:10178	sulfadimidine	PA451542	10178	DB01582	{J01EB03}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	167	2405438
RxNorm:10831	sulfamethoxazole / trimethoprim	PA10715	10831	NA	{NA}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	273	2405438
RxNorm:28439	lamotrigine	PA450164	28439	DB00555	{N03AX09}	\N	\N	106	\N
RxNorm:10184	sulfanilamide	PA451545	10184	DB00259	{D06BA05,J01EB06}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	167	2405438
RxNorm:43611	latanoprost	PA164774763	43611	DB00654	{S01EE01}	\N	\N	106	\N
RxNorm:36437	sertraline	PA451333	36437	DB01104	{N06AB06}	\N	https://files.cpicpgx.org/images/flow_chart/Sertraline_CDS_Flow_Chart.jpg	393	100413
RxNorm:9524	sulfasalazine	PA451547	9524	DB00795	{A07EC01}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	215	2405438
RxNorm:10207	sulfisoxazole	PA164748964	10207	DB00263	{J01EB05,S01AB02}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	215	2405438
RxNorm:39786	venlafaxine	PA451866	39786	DB00285	{N06AX16}	\N	https://files.cpicpgx.org/images/flow_chart/Venlafaxine_CDS_Flow_Chart.jpg	257	100413
RxNorm:6387	lidocaine	PA450226	6387	DB00281	{C01BB01,C05AD01,D04AB01,N01BB02,R02AD02,S01HA07,S02DA01}	\N	\N	106	\N
RxNorm:6694	mefloquine	PA450348	6694	DB00358	{P01BC02}	\N	\N	106	\N
RxNorm:7299	neomycin	PA450608	7299	DB00994	{A01AB08,A07AA01,B05CA09,D06AX04,J01GB05,R02AB01,S01AA03,S02AA07,S03AA01}	\N	\N	87	826283
ATC:C09AA	Ace Inhibitors, Plain	PA164712308	\N	\N	{C09AA}	\N	\N	106	\N
RxNorm:1433212	levomilnacipran	PA166182150	1433212	DB08918	{N06AX28}	\N	\N	130	100413
ATC:L01A	Alkylating Agents	PA164712331	\N	\N	{L01A}	\N	\N	106	\N
RxNorm:588250	milnacipran	PA164752812	588250	DB04896	{N06AX17}	\N	\N	130	100413
ATC:N06AB	Selective serotonin reuptake inhibitors	PA164713257	\N	\N	{N06AB}	\N	\N	106	\N
ATC:L04AB	Tumor necrosis factor alpha (TNF-alpha) inhibitors	PA164713366	\N	\N	{L04AB}	\N	\N	106	\N
RxNorm:2049846	elagolix	PA166182348	2049846	DB11979	\N	\N	\N	105	\N
RxNorm:4179	etoposide	PA449552	4179	DB00773	{L01CB01}	\N	\N	106	\N
RxNorm:191831	infliximab	PA452639	191831	DB00065	{L04AB02}	\N	\N	105	\N
RxNorm:6038	isoniazid	PA450112	6038	DB00951	{J04AC01}	\N	\N	106	\N
RxNorm:480167	lapatinib	PA152241907	480167	DB01259	{L01XE07}	\N	\N	106	\N
RxNorm:6313	leucovorin	PA450198	6313	DB00650	{V03AF}	\N	\N	106	\N
RxNorm:6809	metformin	PA450395	6809	DB00331	{A10BA02}	\N	\N	106	\N
RxNorm:6826	methazolamide	PA450413	6826	DB00703	{S01EC05}	\N	\N	106	\N
RxNorm:6835	methimazole	PA450422	6835	DB00763	{H03BB02}	\N	\N	106	\N
RxNorm:6851	methotrexate	PA450428	6851	DB00563	{L01BA01,L04AX03}	\N	\N	106	\N
RxNorm:6915	metoclopramide	PA450475	6915	DB01233	{A03FA01}	\N	\N	106	\N
RxNorm:6960	midazolam	PA450496	6960	DB00683	{N05CD08}	\N	\N	106	\N
RxNorm:15996	mirtazapine	PA450522	15996	DB00370	{N06AX11}	\N	\N	106	\N
RxNorm:30077	mivacurium	PA450528	30077	DB01226	{M03AC}	\N	\N	105	\N
RxNorm:30125	modafinil	PA450530	30125	DB00745	{N06BA07}	\N	\N	106	\N
RxNorm:7145	mycophenolic acid	PA164748728	7145	DB01024	{L04AA06}	\N	\N	106	\N
RxNorm:7242	naloxone	PA450586	7242	DB01183	{V03AB15}	\N	\N	106	\N
RxNorm:53654	nevirapine	PA450616	53654	DB00238	{J05AG01}	\N	\N	106	\N
ATC:J01G	aminoglycoside antibacterials	PA452167	\N	\N	{J01G}	\N	\N	106	\N
RxNorm:49737	esmolol	PA449500	49737	DB00187	\N	\N	\N	108	5290480
RxNorm:9947	sotalol	PA451457	9947	DB00489	\N	\N	\N	126	5290480
RxNorm:46303	amisulpride	PA162565877	46303	DB06288	{N05AL05}	\N	\N	105	\N
RxNorm:725	amphetamine	PA448408	725	DB00182	{N06BA01}	\N	\N	105	\N
ATC:L01DB	anthracyclines and related substances	PA130620651	\N	\N	{L01DB}	\N	\N	106	\N
ATC:N06A	antidepressants	PA452229	\N	\N	{N06A}	\N	\N	106	\N
ATC:N05A	antipsychotics	PA452233	\N	\N	{N05A}	\N	\N	106	\N
RxNorm:1673265	aripiprazole lauroxil	PA166161216	1673265	DB14185	\N	\N	\N	105	\N
RxNorm:89013	aripiprazole	PA10026	89013	DB01238	{N05AX12}	\N	\N	106	\N
MeSH:C515878	ataluren	PA166151864	\N	\N	{M09AX03}	\N	\N	106	\N
RxNorm:6185	labetalol	PA164743150	6185	DB00598	{C07AG01}	\N	\N	213	5290480
RxNorm:2045726	avatrombopag	PA166179849	2045726	DB11995	{B02BX08}	\N	\N	105	\N
RxNorm:1543543	belinostat	PA165971474	1543543	\N	\N	\N	\N	106	\N
RxNorm:6918	metoprolol	PA450480	6918	DB00264	{C07AB02}	\N	https://files.cpicpgx.org/images/flow_chart/Metoprolol_CDS_Flow_Chart.jpg	215	5290480
RxNorm:149	acebutolol	PA448011	149	DB01193	\N	\N	\N	126	5290480
RxNorm:1658314	brexpiprazole	PA166160053	1658314	\N	\N	\N	\N	106	\N
RxNorm:1739745	brivaracetam	PA166153491	1739745	\N	\N	\N	\N	106	\N
Drugbank:DB12752	bucindolol	PA165945764	\N	DB12752	\N	\N	\N	105	\N
RxNorm:7226	nadolol	PA450573	7226	DB01203	\N	\N	\N	126	5290480
RxNorm:1202	atenolol	PA448499	1202	DB00335	{C07AB03}	\N	\N	195	5290480
RxNorm:31555	nebivolol	PA151958426	31555	DB04861	{C07AB12}	\N	\N	213	5290480
RxNorm:8332	pindolol	PA450966	8332	DB00960	\N	\N	\N	126	5290480
RxNorm:1520	betaxolol	PA448611	1520	DB00195	\N	\N	\N	126	5290480
RxNorm:8787	propranolol	PA451145	8787	DB00571	{C07AA05}	\N	\N	232	5290480
RxNorm:19484	bisoprolol	PA448641	19484	DB00612	\N	\N	\N	126	5290480
RxNorm:20352	carvedilol	PA448817	20352	DB01136	{C07AG02}	\N	\N	232	5290480
RxNorm:3328	dibekacin	PA166292901	3328	DB13270	{J01GB09}	\N	\N	87	826283
RxNorm:2101	carisoprodol	PA448809	2101	DB00395	{M03BA02}	\N	\N	106	\N
RxNorm:734064	desvenlafaxine	PA165958374	734064	DB06700	{N06AX23}	\N	\N	130	100413
RxNorm:596723	cerivastatin	PA448897	596723	DB00439	{C10AA06}	\N	\N	106	\N
RxNorm:72625	duloxetine	PA10066	72625	DB00476	{N06AX21}	\N	\N	254	100413
RxNorm:318341	cetuximab	PA10040	318341	DB00002	{L01XC06}	\N	\N	106	\N
RxNorm:44281	cevimeline	PA164754754	44281	DB00185	{N07AX03}	\N	\N	106	\N
RxNorm:2555	cisplatin	PA449014	2555	DB00515	{L01XA01}	\N	\N	106	\N
RxNorm:21241	clobazam	PA10888	21241	DB00349	{N05BA09}	\N	\N	106	\N
RxNorm:2626	clozapine	PA449061	2626	DB00363	{N05AH02}	\N	\N	106	\N
RxNorm:3002	cyclophosphamide	PA449165	3002	DB00531	{L01AA01}	\N	\N	106	\N
RxNorm:3008	cyclosporine	PA449167	3008	DB00091	{L04AD01,S01XA18}	\N	\N	106	\N
RxNorm:136198	darifenacin	PA164774901	136198	DB00496	{G04BD10}	\N	\N	106	\N
RxNorm:3109	daunorubicin	PA449212	3109	DB00694	{L01DB02}	\N	\N	105	\N
RxNorm:1876905	deutetrabenazine	PA166169881	1876905	DB12161	\N	\N	\N	105	\N
RxNorm:3289	dextromethorphan	PA449273	3289	DB00514	{R05DA09}	\N	\N	106	\N
RxNorm:3322	diazepam	PA449283	3322	DB00829	{N05BA01}	\N	\N	106	\N
RxNorm:3407	digoxin	PA449319	3407	DB00390	{C01AA05}	\N	\N	106	\N
RxNorm:266856	divalproex sodium	PA164783479	266856	DB00510	\N	\N	\N	106	\N
RxNorm:68091	dolasetron	PA449390	68091	DB00757	{A04AA04}	\N	\N	106	\N
RxNorm:1433868	dolutegravir	PA166114961	1433868	\N	\N	\N	\N	106	\N
RxNorm:135447	donepezil	PA449394	135447	DB00843	{N06DA02}	\N	\N	106	\N
RxNorm:224925	dronabinol	PA449421	224925	DB00470	{A04AD10}	\N	\N	105	\N
RxNorm:5470	hydralazine	PA449894	5470	DB01275	{C02DB02}	\N	https://files.cpicpgx.org/images/flow_chart/Hydralazine_CDS_Flow_Chart.jpg	123	6478852
RxNorm:1998	captopril	PA448780	1998	DB01197	{C09AA01}	\N	\N	106	\N
RxNorm:1547220	eliglustat	PA166123486	1547220	\N	\N	\N	\N	106	\N
RxNorm:797195	fesoterodine	PA165958376	797195	DB06702	{G04BD11}	\N	\N	106	\N
RxNorm:4493	fluoxetine	PA449673	4493	DB00472	{N06AB03}	\N	\N	254	100413
RxNorm:4441	flecainide	PA449646	4441	DB01195	{C01BC04}	\N	\N	106	\N
RxNorm:1665509	flibanserin	PA166153431	1665509	\N	\N	\N	\N	106	\N
RxNorm:50121	fluticasone propionate	PA449686	50121	DB00588	{D07AC17,R01AD08,R03BA05}	\N	\N	106	\N
RxNorm:4603	furosemide	PA449719	4603	DB00695	{C03CA01}	\N	\N	106	\N
RxNorm:4637	galantamine	PA449726	4637	DB00674	{N06DA04}	\N	\N	106	\N
RxNorm:328134	gefitinib	PA131301952	328134	DB00317	{L01XE02}	\N	\N	105	\N
RxNorm:12574	gemcitabine	PA449748	12574	DB00441	{L01BC05}	\N	\N	106	\N
RxNorm:5093	haloperidol	PA449841	5093	DB00502	{N05AD01}	\N	\N	106	\N
ATC:C10AA	hmg coa reductase inhibitors	PA133950441	\N	\N	{C10AA}	\N	\N	106	\N
ATC:G03A	hormonal contraceptives for systemic use	PA452637	\N	\N	{G03A}	\N	\N	106	\N
RxNorm:5487	hydrochlorothiazide	PA449899	5487	DB00999	{C03AA03,C03AB03,C09DX01,C09DX03,C09XA52,C03EA01,C03AX01,G01AE10,C09XA54}	\N	\N	106	\N
RxNorm:5650	idarubicin	PA449961	5650	DB01177	{L01DB06}	\N	\N	105	\N
RxNorm:6901	methylphenidate	PA450464	6901	DB00422	{N06BA04}	\N	\N	106	\N
RxNorm:6857	methoxyflurane	PA450434	6857	DB01028	{N02BG09}	\N	https://files.cpicpgx.org/images/flow_chart/Methoxyflurane_CDS_Flow_Chart.jpg	322	100427
RxNorm:7337	netilmicin	PA164754913	7337	DB00955	{J01GB07,S01AA23}	\N	\N	87	826283
RxNorm:662281	nilotinib	PA165958345	662281	DB04868	{L01XE08}	\N	\N	106	\N
RxNorm:253453	peginterferon alfa-2b	PA164784024	253453	DB00022	{L03AB10,L03AB60}	\N	\N	320	100424
RxNorm:1011650	pegloticase	PA165963961	1011650	NA	{NA}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_High_Risk_Drug_CDS_Flow_Chart.jpg	215	2405438
RxNorm:8183	phenytoin	PA450947	8183	DB00252	{N03AB02,N03AB52}	\N	https://files.cpicpgx.org/images/flow_chart/Phenytoin_CDS_Flow_Chart.jpg	322	100412
RxNorm:8356	piroxicam	PA450985	8356	DB00554	{M01AC01}	\N	https://files.cpicpgx.org/images/flow_chart/Piroxicam_CDS_Flow_Chart.jpg	245	110058
RxNorm:61381	olanzapine	PA450688	61381	DB00334	{N05AH03}	\N	\N	106	\N
RxNorm:7455	nitrofural	PA164754877	7455	DB00336	{B05CA03,D08AF01,D09AA03,P01CC02,S01AX04,S02AA02}	\N	\N	166	2405438
RxNorm:7517	norfloxacin	PA450654	7517	DB01059	{J01MA06,S01AE02}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Low-to-no_Risk_Drug_CDS_Flow_Chart.jpg	215	2405438
RxNorm:32592	oxaliplatin	PA131285527	32592	DB00526	{L01XA03}	\N	\N	106	\N
RxNorm:70561	palonosetron	PA10352	70561	DB00377	{A04AA05}	\N	\N	106	\N
RxNorm:7454	nitrofurantoin	PA450640	7454	DB00698	{J01XE01}	\N	https://files.cpicpgx.org/images/flow_chart/G6PD_Medium_Risk_Drug_CDS_Flow_Chart.jpg	215	2405438
RxNorm:714438	pazopanib	PA165291492	714438	\N	{L01XE}	\N	\N	106	\N
RxNorm:7531	nortriptyline	PA450657	7531	DB00540	{N06AA10}	\N	https://files.cpicpgx.org/images/flow_chart/Nortriptyline_CDS_Flow_Chart.jpg	244	100414
RxNorm:7646	omeprazole	PA450704	7646	DB00338	{A02BC01}	\N	https://files.cpicpgx.org/images/flow_chart/Omeprazole_CDS_Flow_Chart.jpg	245	110076
RxNorm:26225	ondansetron	PA450705	26225	DB00904	{A04AA01}	\N	https://files.cpicpgx.org/images/flow_chart/Ondansetron_CDS_Flow_Chart.jpg	244	100417
RxNorm:40790	pantoprazole	PA450774	40790	DB00213	{A02BC02}	\N	https://files.cpicpgx.org/images/flow_chart/Pantoprazole_CDS_Flow_Chart.jpg	245	110076
RxNorm:7934	paromomycin	PA164784023	7934	DB01421	{A07AA06}	\N	\N	213	826283
RxNorm:8076	perphenazine	PA450882	8076	DB00850	{N05AB03}	\N	\N	106	\N
RxNorm:2197878	pitolisant	PA166185163	2197878	DB11642	{N07XX11}	\N	\N	106	\N
RxNorm:120608	peginterferon alfa-2a	PA164749390	120608	DB00008	{L03AB11,L03AB61}	\N	\N	320	100424
RxNorm:NA	ribostamycin	PA166292902	NA	DB03615	{J01GB10}	\N	\N	87	826283
RxNorm:1311280	platinum	PA150595617	1311280	\N	\N	\N	\N	106	\N
RxNorm:8700	procainamide	PA451108	8700	DB01035	{C01BA02}	\N	\N	105	\N
RxNorm:8754	propafenone	PA451131	8754	DB01182	{C01BC03}	\N	\N	106	\N
RxNorm:8794	propylthiouracil	PA451156	8794	DB00550	{H03BA02}	\N	\N	106	\N
RxNorm:8886	protriptyline	PA451168	8886	DB00344	{N06AA11}	\N	\N	106	\N
RxNorm:51272	quetiapine	PA451201	51272	DB01224	{N05AH04}	\N	\N	105	\N
RxNorm:9068	quinidine	PA451209	9068	DB00908	{C01BA01}	\N	\N	106	\N
RxNorm:56795	sufentanil	PA451527	56795	DB00708	{N01AH03}	\N	\N	292	100416
MedDRA:10037794	radiotherapy	PA166122986	\N	\N	\N	\N	\N	106	\N
RxNorm:72143	raloxifene	PA451221	72143	DB00481	{G03XC01}	\N	\N	105	\N
RxNorm:719872	raltegravir	PA164888966	719872	\N	\N	\N	\N	105	\N
RxNorm:73056	risedronate	PA451255	73056	DB00884	{M05BA07}	\N	\N	105	\N
RxNorm:35636	risperidone	PA451257	35636	DB00734	{N05AX08}	\N	\N	106	\N
RxNorm:121191	rituximab	PA451261	121191	DB00073	{L01XC02}	\N	\N	106	\N
RxNorm:84108	rosiglitazone	PA451283	84108	DB00412	{A10BG02}	\N	\N	106	\N
RxNorm:435	salbutamol	PA448068	435	DB01001	{R03AC02,R03CC02}	\N	\N	106	\N
RxNorm:36117	salmeterol	PA451300	36117	DB00938	{R03AC12}	\N	\N	106	\N
RxNorm:136411	sildenafil	PA451346	136411	DB00203	{G04BE03}	\N	\N	106	\N
RxNorm:2121085	siponimod	PA166182736	2121085	DB12371	\N	\N	\N	106	\N
RxNorm:35302	sirolimus	PA451365	35302	DB00877	{L04AA10}	\N	\N	106	\N
RxNorm:9997	spironolactone	PA451483	9997	DB00421	{C03DA01}	\N	\N	106	\N
MeSH:D013449	sulfonamides	PA10772	\N	\N	{A07AB,D06BA,G01AE,S01AB}	\N	\N	106	\N
RxNorm:357977	sunitinib	PA162372840	357977	DB01268	{L01XE04}	\N	\N	106	\N
RxNorm:117466	tenofovir	PA10204	117466	DB00300	{J05AF}	\N	\N	106	\N
RxNorm:37801	terbinafine	PA451614	37801	DB00857	{D01AE15,D01BA02}	\N	\N	106	\N
RxNorm:16689	aceclofenac	PA166049185	16689	DB06736	{M01AB16}	\N	\N	243	110058
RxNorm:10390	tetrabenazine	PA140222719	10390	DB04844	{N07XX06}	\N	\N	106	\N
RxNorm:3355	diclofenac	PA449293	3355	DB00586	{D11AX18,M01AB05,M02AA15,S01BC03}	\N	\N	319	110058
RxNorm:283742	esomeprazole	PA10075	283742	DB00736	{A02BC05}	\N	\N	241	110076
RxNorm:5640	ibuprofen	PA449957	5640	DB01050	{C01EB16,G02CC01,M01AE01,M02AA13}	\N	https://files.cpicpgx.org/images/flow_chart/Ibuprofen_CDS_Flow_Chart.jpg	324	110058
RxNorm:114979	rabeprazole	PA451216	114979	DB01129	{A02BC04}	\N	\N	241	110076
RxNorm:140587	celecoxib	PA448871	140587	DB00482	{L01XX33,M01AH01}	\N	https://files.cpicpgx.org/images/flow_chart/Celecoxib_CDS_Flow_Chart.jpg	245	110058
RxNorm:10502	thioridazine	PA451666	10502	DB00679	{N05AC02}	\N	\N	106	\N
RxNorm:10600	timolol	PA451690	10600	DB00373	{C07AA06,S01ED01}	\N	\N	106	\N
RxNorm:69120	tiotropium	PA164769056	69120	DB01409	{R03BB}	\N	\N	106	\N
RxNorm:32968	clopidogrel	PA449053	32968	DB00758	{B01AC04}	\N	https://files.cpicpgx.org/images/flow_chart/Clopidogrel_CDS_Flow_Chart.jpg	245	100411
RxNorm:195085	efavirenz	PA449441	195085	DB00625	{J05AG03}	\N	https://files.cpicpgx.org/images/flow_chart/Efavirenz_CDS_Flow_Chart.jpg	245	104245
RxNorm:4502	flurbiprofen	PA449683	4502	DB00712	{M01AE09,M02AA19,R02AX01,S01BC04}	\N	https://files.cpicpgx.org/images/flow_chart/Flurbiprofen_CDS_Flow_Chart.jpg	245	110058
RxNorm:119565	tolterodine	PA164746757	119565	DB01036	{G04BD07}	\N	\N	106	\N
RxNorm:10759	triamcinolone	PA451749	10759	DB00620	{A01AC01,C05AA12,D07AB09,D07XB02,H02AB08,R01AD11,R03BA06,S01BA05}	\N	\N	106	\N
RxNorm:1918219	valbenazine	PA166170051	1918219	DB11915	\N	\N	\N	105	\N
RxNorm:11118	valproic acid	PA451846	11118	DB00313	{N03AG01}	\N	\N	106	\N
RxNorm:901805	velaglucerase alfa	PA166115366	901805	\N	\N	\N	\N	106	\N
RxNorm:1243041	ivacaftor	PA165950341	1243041	DB08820	{R07AX02,R07AX30}	\N	\N	243	100409
RxNorm:17128	lansoprazole	PA450180	17128	DB00448	{A02BC03}	\N	https://files.cpicpgx.org/images/flow_chart/Lansoprazole_CDS_Flow_Chart.jpg	245	110076
RxNorm:121243	voriconazole	PA10233	121243	DB00582	{J02AC03}	\N	https://files.cpicpgx.org/images/flow_chart/Voriconazole_CDS_Flow_Chart.jpg	244	100410
RxNorm:77492	tamsulosin	PA451583	77492	DB00706	{G04CA02}	\N	\N	106	\N
RxNorm:115698	ziprasidone	PA451974	115698	DB00246	{N05AE04}	\N	\N	105	\N
RxNorm:114176	zuclopenthixol	PA452629	114176	DB01624	{N05AF05}	\N	\N	106	\N
RxNorm:816346	dexlansoprazole	PA166110257	816346	DB05351	{A02BC06}	\N	https://files.cpicpgx.org/images/flow_chart/Dexlansoprazole_CDS_Flow_Chart.jpg	245	110076
RxNorm:3523	metamizole	PA166128206	3523	DB04817	{N02BB02}	\N	\N	165	110058
RxNorm:343047	atazanavir	PA10251	343047	DB01072	{J05AE08,J05AR15}	\N	https://files.cpicpgx.org/images/flow_chart/Atazanavir_CDS_Flow_Chart.jpg	245	100429
RxNorm:1256	azathioprine	PA448515	1256	DB00993	{L04AX01}	\N	https://files.cpicpgx.org/images/flow_chart/Azathioprine_CDS_Flow_Chart.jpg	324	100428
RxNorm:27340	desflurane	PA164749136	27340	DB01189	{N01AB07}	\N	https://files.cpicpgx.org/images/flow_chart/Desflurane_CDS_Flow_Chart.jpg	324	100427
RxNorm:3920	enflurane	PA449461	3920	DB00228	{N01AB04}	\N	https://files.cpicpgx.org/images/flow_chart/Enflurane_CDS_Flow_Chart.jpg	324	100427
RxNorm:5095	halothane	PA449845	5095	DB01159	{N01AB01}	\N	https://files.cpicpgx.org/images/flow_chart/Halothane_CDS_Flow_Chart.jpg	324	100427
RxNorm:2049549	plazomicin	PA166228921	2049549	\N	\N	\N	\N	213	826283
