id	phenotypeid	lookupkey	function1	function2	activityvalue1	activityvalue2	totalactivityscore	description
7473419	7473418	{"Decreased function": 2}	Decreased function	Decreased function	n/a	n/a	n/a	An individual carrying two decreased function alleles
7473422	7473421	{"Normal function": 1, "Decreased function": 1}	Normal function	Decreased function	n/a	n/a	n/a	An individual carrying one normal function allele and one decreased function allele
7473425	7473424	{"Normal function": 2}	Normal function	Normal function	n/a	n/a	n/a	An individual carrying two normal function alleles
7473428	7473427	{"Malignant Hyperthermia associated": 2}	Malignant Hyperthermia associated	Malignant Hyperthermia associated	n/a	n/a	n/a	An individual homozygous or compound heterozygous for a CACNA1S Malignant hyperthermia-causative variant as designated by the EMHG
7473432	7473427	{"Normal function": 1, "Malignant Hyperthermia associated": 1}	Malignant Hyperthermia associated	Normal function	n/a	n/a	n/a	An individual heterozygous for a CACNA1S Malignant hyperthermia-causative variant as designated by the EMHG
7473436	7473435	{"Normal function": 2}	Normal function	Normal function	n/a	n/a	n/a	An individual negative for a CACNA1S malignant hyperthermia–causative variant as designated by the EMHG
7473439	7473438	{"ivacaftor responsive": 2}	ivacaftor responsive	ivacaftor responsive	n/a	n/a	n/a	An individual homozygous or compound heterozygous for a CFTR variant listed in the FDA-approved drug label as being responsive to ivacaftor
7478796	7473438	{"ivacaftor responsive": 1, "ivacaftor non-responsive": 1}	ivacaftor responsive	ivacaftor non-responsive	n/a	n/a	n/a	An individual diagnosed with cystic fibrosis (CF) and heterozygous for a CFTR variant listed in the FDA-approved drug label as being responsive to ivacaftor
7478901	7478900	{"ivacaftor non-responsive": 2}	ivacaftor non-responsive	ivacaftor non-responsive	n/a	n/a	n/a	An individual diagnosed with cystic fibrosis (CF) and negative for a CFTR variant listed in the FDA-approved drug label as being responsive to ivacaftor
7478904	7478903	{"Increased function": 2}	Increased function	Increased function	n/a	n/a	n/a	An individual carrying two increased function alleles
7478907	7478906	{"Normal function": 1, "Increased function": 1}	Normal function	Increased function	n/a	n/a	n/a	An individual carrying one normal function allele and one increased function allele
7478915	7478914	{"Normal function": 2}	Normal function	Normal function	n/a	n/a	n/a	An individual carrying two normal function alleles
7478938	7478937	{"Normal function": 1, "Decreased function": 1}	Normal function	Decreased function	n/a	n/a	n/a	An individual carrying one normal function allele and one decreased function allele
7479029	7478937	{"No function": 1, "Normal function": 1}	Normal function	No function	n/a	n/a	n/a	An individual carrying one normal function allele and one no function allele
7479072	7478937	{"Decreased function": 1, "Increased function": 1}	Increased function	Decreased function	n/a	n/a	n/a	An individual carrying one increased function allele and one decreased function allele
7479088	7478937	{"No function": 1, "Increased function": 1}	Increased function	No function	n/a	n/a	n/a	An individual carrying one increased function allele and one no function allele
7479097	7479096	{"Decreased function": 2}	Decreased function	Decreased function	n/a	n/a	n/a	An individual carrying two decreased function alleles
7479218	7479096	{"No function": 1, "Decreased function": 1}	Decreased function	No function	n/a	n/a	n/a	An individual carrying one decreased function allele and one no function allele
7479324	7479096	{"No function": 2}	No function	No function	n/a	n/a	n/a	An individual carrying two no function alleles
7479354	7479353	{"Increased function": 1, "Uncertain function": 1}	Uncertain function	Increased function	n/a	n/a	n/a	An individual carrying one increased function allele and one uncertain function allele
7479374	7479353	{"Normal function": 1, "Uncertain function": 1}	Uncertain function	Normal function	n/a	n/a	n/a	An individual carrying one normal function allele and one uncertain function allele
7479489	7479353	{"Decreased function": 1, "Uncertain function": 1}	Uncertain function	Decreased function	n/a	n/a	n/a	An individual carrying one decreased function allele and one uncertain function allele
7479775	7479353	{"No function": 1, "Uncertain function": 1}	Uncertain function	No function	n/a	n/a	n/a	An individual carrying one no function allele and one uncertain function allele
7479909	7479353	{"Uncertain function": 2}	Uncertain function	Uncertain function	n/a	n/a	n/a	An individual carrying two uncertain function alleles
7480101	7480100	{"Increased function": 2}	Increased function	Increased function	n/a	n/a	n/a	An individual carrying two increased function alleles
7480104	7480103	{"Normal function": 1, "Increased function": 1}	Increased function	Normal function	n/a	n/a	n/a	An individual carrying one normal function allele and one increased function allele
7480113	7480112	{"Normal function": 2}	Normal function	Normal function	n/a	n/a	n/a	An individual carrying two normal function alleles
7480143	7480142	{"Normal function": 1, "Decreased function": 1}	Decreased function	Normal function	n/a	n/a	n/a	An individual carrying one normal function allele and one decreased function allele
7480186	7480142	{"Decreased function": 1, "Increased function": 1}	Decreased function	Increased function	n/a	n/a	n/a	An individual carrying one increased function allele and one decreased function allele
7480193	7480142	{"Decreased function": 2}	Decreased function	Decreased function	n/a	n/a	n/a	An individual carrying two decreased function alleles
7480216	7480215	{"No function": 1, "Normal function": 1}	Normal function	No function	n/a	n/a	n/a	An individual carrying one normal function allele and one no function allele
7480301	7480215	{"No function": 1, "Increased function": 1}	Increased function	No function	n/a	n/a	n/a	An individual carrying one increased function allele and one no function allele
7480315	7480314	{"No function": 1, "Decreased function": 1}	Decreased function	No function	n/a	n/a	n/a	An individual carrying one decreased function allele and one no function allele
7480389	7480388	{"No function": 2}	No function	No function	n/a	n/a	n/a	An individual carrying two no function alleles
7480469	7480468	{"Uncertain function": 2}	Uncertain function	Uncertain function	n/a	n/a	n/a	An individual carrying two uncertain function alleles
7521997	7521996	{"Increased function": 2}	Increased function	Increased function	n/a	n/a	n/a	An individual carrying two increased function alleles
7480525	7480468	{"Increased function": 1, "Uncertain function": 1}	Uncertain function	Increased function	n/a	n/a	n/a	An individual carrying one increased function allele and one uncertain function allele
7480536	7480468	{"Normal function": 1, "Uncertain function": 1}	Uncertain function	Normal function	n/a	n/a	n/a	An individual carrying one normal function allele and one uncertain function allele
7480607	7480468	{"Decreased function": 1, "Uncertain function": 1}	Uncertain function	Decreased function	n/a	n/a	n/a	An individual carrying one decreased function allele and one uncertain function allele
7480668	7480468	{"No function": 1, "Uncertain function": 1}	Uncertain function	No function	n/a	n/a	n/a	An individual carrying one no function allele and one uncertain function allele
7480790	7480789	{"1.0": 2}	Normal function	Normal function	1.0	1.0	2.0	An individual carrying two normal function alleles
7480795	7480794	{"0.5": 1, "1.0": 1}	Normal function	Decreased function	1.0	0.5	1.5	An individual carrying one normal function allele and one decreased function allele
7480839	7480838	{"0.0": 1, "1.0": 1}	Normal function	No function	1.0	0.0	1.0	An individual carrying one normal function allele and one no function allele
7480866	7480838	{"0.5": 2}	Decreased function	Decreased function	0.5	0.5	1.0	An individual carrying two decreased function alleles
7481099	7481098	{"0.0": 1, "0.5": 1}	Decreased function	No function	0.5	0.0	0.5	An individual carrying one decreased function allele and one no function allele
7481374	7481373	{"0.0": 2}	No function	No function	0.0	0.0	0.0	An individual carrying two no function alleles
7481467	7481466	{"1.0": 1, "n/a": 1}	Uncertain function	Normal function	n/a	1.0	n/a	An individual carrying one normal function allele and one uncertain function allele
7481546	7481466	{"0.5": 1, "n/a": 1}	Uncertain function	Decreased function	n/a	0.5	n/a	An individual carrying one decreased function allele and one uncertain function allele
7482366	7481466	{"0.0": 1, "n/a": 1}	Uncertain function	No function	n/a	0.0	n/a	An individual carrying one no function allele and one uncertain function allele
7482874	7481466	{"n/a": 2}	Uncertain function	Uncertain function	n/a	n/a	n/a	An individual carrying two uncertain function alleles
7483655	7481466	{"1.0": 1, "n/a": 1}	Unknown function	Normal function	n/a	1.0	n/a	An individual carrying one normal function allele and one unknown function allele
7483656	7481466	{"0.5": 1, "n/a": 1}	Unknown function	Decreased function	n/a	0.5	n/a	An individual carrying one decreased function allele and one unknown function allele
7483657	7481466	{"0.0": 1, "n/a": 1}	Unknown function	No function	n/a	0.0	n/a	An individual carrying one no function allele and one unknown function allele
7483658	7481466	{"n/a": 2}	Unknown function	Unknown function	n/a	n/a	n/a	An individual carrying two unknown function alleles
7483659	7481466	{"n/a": 2}	Uncertain function	Unknown function	n/a	n/a	n/a	An individual carrying one uncertain function allele and one unknown function allele
7483661	7483660	{"≥3.0": 2}	Increased function	Increased function	≥3.0	≥3.0	≥6.0	An individual carrying multiplications of normal function alleles
7483666	7483665	{"2.0": 1, "≥3.0": 1}	Increased function	Increased function	≥3.0	2.0	≥5.0	An individual carrying multiplications of normal function alleles
7483680	7483679	{"0.75": 1, "≥3.0": 1}	Increased function	Decreased function	≥3.0	0.75	≥3.75	An individual carrying one allele with multiplications of a normal function allele and one allele with three copies of a decreased function allele with an activity value of 0.25
7483684	7483683	{"1.0": 1, "≥3.0": 1}	Increased function	Normal function	≥3.0	1.0	≥4.0	An individual carrying one allele with multiplications of a normal function allele and one normal function allele or a duplication of a decreased function allele with an activity value of 0.5
7483718	7483717	{"0.5": 1, "≥3.0": 1}	Increased function	Decreased function	≥3.0	0.5	≥3.5	An individual carrying one allele with multiplications of a normal function allele and one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25
7483746	7483745	{"0.25": 1, "≥3.0": 1}	Increased function	Decreased function	≥3.0	0.25	≥3.25	An individual carrying one allele with multiplications of a normal function allele and one decreased function allele with an activity value of 0.25
7483770	7483769	{"0.0": 1, "≥3.0": 1}	Increased function	No function	≥3.0	0.0	≥3.0	An individual carrying one allele with multiplications of a normal function allele and one no function allele
7483868	7483867	{"2.0": 2}	Increased function	Increased function	2.0	2.0	4.0	An individual carrying two duplicated normal function alleles
7483891	7483890	{"2.0": 1, "0.75": 1}	Increased function	Decreased function	2.0	0.75	2.75	An individual carrying one duplicated normal function allele and one allele with three copies of a decreased function allele with an activity value of 0.25
7483899	7483898	{"1.0": 1, "2.0": 1}	Increased function	Normal function	2.0	1.0	3.0	An individual carrying one duplicated normal function allele and one normal function allele or a duplication of a decreased function allele with an activity value of 0.5
7483997	7483996	{"0.5": 1, "2.0": 1}	Increased function	Decreased function	2.0	0.5	2.5	An individual carrying one duplicated normal function allele and one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25
7484077	7484076	{"2.0": 1, "0.25": 1}	Increased function	Decreased function	2.0	0.25	2.25	An individual carrying one duplicated normal function allele and one decreased function allele with an activity value of 0.25
7484145	7484144	{"0.0": 1, "2.0": 1}	Increased function	No function	2.0	0.0	2.0	An individual carrying one duplicated normal function allele and one no function allele
7484435	7484434	{"0.75": 2}	Decreased function	Decreased function	0.75	0.75	1.5	An individual carrying two alleles with three copies of a decreased function allele with an activity value of 0.25
7484438	7484437	{"1.0": 1, "0.75": 1}	Decreased function	Normal function	0.75	1.0	1.75	An individual carrying one allele with three copies of a decreased function allele with an activity value of 0.25 and one normal function allele or a duplication of a decreased function allele with an activity value of 0.5
7484456	7484455	{"0.5": 1, "0.75": 1}	Decreased function	Decreased function	0.75	0.5	1.25	An individual carrying one allele with three copies of a decreased function allele with an activity value of 0.25 and one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25
7484471	7484470	{"0.25": 1, "0.75": 1}	Decreased function	Decreased function	0.75	0.25	1.0	An individual carrying one allele with three copies of a decreased function allele with an activity value of 0.25 and one decreased function allele with an activity value of 0.25
7484484	7484483	{"0.0": 1, "0.75": 1}	Decreased function	No function	0.75	0.0	0.75	An individual carrying one allele with three copies of a decreased function allele with an activity value of 0.25 and one no function allele
7484533	7484144	{"1.0": 2}	Normal function	Normal function	1.0	1.0	2.0	An individual carrying two normal function alleles or one normal function allele and a duplication of a decreased function allele with an activity value of 0.5 or two alleles with a duplication of a decreased function allele with an activity value of 0.5
7484670	7484434	{"0.5": 1, "1.0": 1}	Normal function	Decreased function	1.0	0.5	1.5	An individual carrying one normal function allele or a duplication of a decreased function allele with an activity value of 0.5 and one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25
7484879	7484455	{"1.0": 1, "0.25": 1}	Normal function	Decreased function	1.0	0.25	1.25	An individual carrying one normal function allele or a duplication of a decreased function allele with an activity value of 0.5 and one decreased function allele with an activity value of 0.25
7485056	7484470	{"0.0": 1, "1.0": 1}	Normal function	No function	1.0	0.0	1.0	An individual carrying one normal function allele or a duplication of a decreased function allele with an activity value of 0.5 and one no function allele
7485825	7484470	{"0.5": 2}	Decreased function	Decreased function	0.5	0.5	1.0	An individual carrying two decreased function alleles with an activity value of 0.5 or one decreased function allele with an activity value of 0.5 and a duplication of a decreased function allele with an activity value of 0.25 or two alleles with a duplication of an decreased function allele with an activity value of 0.25
7485917	7484483	{"0.5": 1, "0.25": 1}	Decreased function	Decreased function	0.5	0.25	0.75	An individual carrying one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25 and one decreased function allele with an activity value of 0.25
7486062	7486061	{"0.0": 1, "0.5": 1}	Decreased function	No function	0.5	0.0	0.5	An individual carrying one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25 and one no function allele
7486687	7486061	{"0.25": 2}	Decreased function	Decreased function	0.25	0.25	0.5	An individual carrying two decreased function alleles with an activity value of 0.25
7486755	7486754	{"0.0": 1, "0.25": 1}	Decreased function	No function	0.25	0.0	0.25	An individual carrying one decreased function allele with an activity value of 0.25 and one no function allele
7487285	7487284	{"0.0": 2}	No function	No function	0.0	0.0	0.0	An individual carrying two no function alleles
7488463	7488462	{"n/a": 1, "≥3.0": 1}	Uncertain function	Increased function	n/a	≥3.0	n/a	An individual carrying one allele with multiplications of a normal function allele and one uncertain or unknown function allele
7488636	7488462	{"2.0": 1, "n/a": 1}	Uncertain function	Increased function	n/a	2.0	n/a	An individual carrying one duplicated normal function allele and one uncertain or unknown function allele
7489153	7488462	{"n/a": 1, "0.75": 1}	Uncertain function	Decreased function	n/a	0.75	n/a	An individual carrying one allele with three copies of a decreased function allele with an activity value of 0.25 and one uncertain or unknown function allele
7489240	7488462	{"1.0": 1, "n/a": 1}	Uncertain function	Normal function	n/a	1.0	n/a	An individual carrying one normal function allele or a duplication of a decreased function allele with an activity value of 0.5 and one uncertain or unknown function allele
7490617	7488462	{"0.5": 1, "n/a": 1}	Uncertain function	Decreased function	n/a	0.5	n/a	An individual carrying one decreased function allele with an activity value of 0.5 or a duplication of a decreased function allele with an activity value of 0.25 and one uncertain or unknown function allele
7491736	7488462	{"n/a": 1, "0.25": 1}	Uncertain function	Decreased function	n/a	0.25	n/a	An individual carrying one decreased function allele with an activity value of 0.25 and one uncertain or unknown function allele
7492683	7488462	{"0.0": 1, "n/a": 1}	Uncertain function	No function	n/a	0.0	n/a	An individual carrying one no function allele and one uncertain function or unknown allele
7496812	7488462	{"n/a": 2}	Uncertain function	Uncertain function	n/a	n/a	n/a	An individual carrying two uncertain function alleles or two unknown function alleles or one unknown and one uncertain function allele
7500554	7488462	{"n/a": 1, "≥3.0": 1}	Unknown function	Increased function	n/a	≥3.0	n/a	An individual carrying one allele with multiplications of a normal function allele and one uncertain or unknown function allele
7500555	7488462	{"2.0": 1, "n/a": 1}	Unknown function	Increased function	n/a	2.0	n/a	An individual carrying one duplicated normal function allele and one uncertain or unknown function allele
7500556	7488462	{"n/a": 1, "0.75": 1}	Unknown function	Decreased function	n/a	0.75	n/a	An individual carrying one allele with three copies of a decreased function allele with an activity value of 0.25 and one uncertain or unknown function allele
7500557	7488462	{"1.0": 1, "n/a": 1}	Unknown function	Normal function	n/a	1.0	n/a	An individual carrying one normal function allele or a duplication of a decreased function allele with an activity value of 0.5 and one uncertain or unknown function allele
